product_id,SKU,product_name,category,color,material,collection,size,cost,unit_price
P0019,SKU-0019,Performance Leggings,Activewear,White,Canvas,Fall 2025,XS,44.84,67.31
P0020,SKU-0020,Bomber Jacket,Jackets,Grey,Wool,Summer 2025,S,142.04,244.35
P0021,SKU-0021,Performance Leggings,Activewear,Cream,Cotton,Winter 2025,M,59.25,115.8
P0022,SKU-0022,Training Shorts,Activewear,Black,Polyester,Fall 2025,XL,66.34,111.65
P0023,SKU-0023,Leather Backpack,Bags,Burgundy,Wool,Spring 2026,One Size,135.77,260.5
P0024,SKU-0024,Zip Wallet,Wallets,Burgundy,Recycled Fabric,Winter 2025,One Size,36.67,81.07
P0025,SKU-0025,Running Jacket,Activewear,Olive,Polyester,Fall 2025,M,53.61,83.25
P0026,SKU-0026,Weekender Duffel,Bags,Forest Green,Canvas,Summer 2025,One Size,76.5,120.5
P0027,SKU-0027,Knit Scarf,Accessories,Cream,Polyester,Summer 2025,One Size,20.08,38.79
P0028,SKU-0028,Zip Wallet,Wallets,Black,Leather,Fall 2025,One Size,22.83,46.28
P0029,SKU-0029,Fleece Hoodie,Sweats,Tan,Recycled Fabric,Spring 2026,L,92.53,137.48
P0030,SKU-0030,Zip Wallet,Wallets,Burgundy,Canvas,Fall 2025,One Size,19.37,45.34
P0031,SKU-0031,Card Holder,Wallets,Black,Cotton,Spring 2026,One Size,38.35,88.15
P0032,SKU-0032,Training Hoodie,Activewear,Olive,Cotton,Fall 2025,S,56.22,98.45
P0033,SKU-0033,Coin Purse,Wallets,Forest Green,Wool,Spring 2025,One Size,35.21,69.13
P0034,SKU-0034,Bifold Wallet,Wallets,Brown,Cotton,Summer 2025,One Size,65.46,118.3
P0035,SKU-0035,Knit Scarf,Accessories,Grey,Wool,Summer 2025,One Size,27.52,46.2
P0036,SKU-0036,Training Hoodie,Activewear,Tan,Wool,Winter 2025,S,57.42,117.88
P0037,SKU-0037,Crossbody Bag,Bags,Burgundy,Recycled Fabric,Winter 2025,One Size,73.25,163.56
P0038,SKU-0038,Baseball Cap,Accessories,Sage Green,Polyester,Fall 2025,One Size,33.9,68.52
P0039,SKU-0039,Mini Backpack,Bags,Tan,Cotton,Fall 2025,One Size,187.4,281.89
P0040,SKU-0040,Training Hoodie,Activewear,Brown,Polyester,Winter 2025,M,32.61,73.43
P0041,SKU-0041,Canvas Tote,Bags,Burgundy,Polyester,Spring 2026,One Size,184.18,329.52
P0042,SKU-0042,Coin Purse,Wallets,Olive,Canvas,Summer 2025,One Size,54.01,84.32
P0043,SKU-0043,Wool Beanie,Accessories,Sage Green,Cotton,Fall 2025,One Size,30.53,62.64
P0044,SKU-0044,Fleece Hoodie,Sweats,Olive,Canvas,Spring 2025,S,39.95,83.65
P0045,SKU-0045,Knit Scarf,Accessories,Sage Green,Cotton,Spring 2025,One Size,28.95,55.08
P0046,SKU-0046,Passport Wallet,Wallets,Olive,Wool,Spring 2026,One Size,58.02,93.66
P0047,SKU-0047,Leather Satchel,Bags,Navy,Polyester,Winter 2025,One Size,197.69,308.95
P0048,SKU-0048,Wool Beanie,Accessories,White,Canvas,Fall 2025,One Size,10.77,22.94
P0049,SKU-0049,Leather Backpack,Bags,Sage Green,Leather,Fall 2025,One Size,116.45,210.17
P0050,SKU-0050,Sports Bra,Activewear,Forest Green,Polyester,Winter 2025,XL,80.55,115.95
P0051,SKU-0051,Crewneck Sweatshirt,Sweats,Lavender,Cotton,Spring 2025,S,95.67,136.99
P0052,SKU-0052,Sports Bra,Activewear,Grey,Canvas,Winter 2025,M,46.96,81.47
P0053,SKU-0053,Coin Purse,Wallets,Brown,Cotton,Winter 2025,One Size,40.38,89.14
P0054,SKU-0054,Wool Beanie,Accessories,Burgundy,Wool,Winter 2025,One Size,13.11,31.28
P0055,SKU-0055,Running Jacket,Activewear,Black,Leather,Spring 2025,M,44.74,99.52
P0056,SKU-0056,Canvas Tote,Bags,Navy,Cotton,Summer 2025,One Size,99.94,175.19
P0057,SKU-0057,Quilted Jacket,Jackets,Forest Green,Leather,Winter 2025,XL,278.68,429.62
P0058,SKU-0058,Denim Jacket,Jackets,Navy,Canvas,Summer 2025,XS,211.45,390.27
P0059,SKU-0059,Leather Backpack,Bags,Burgundy,Leather,Summer 2025,One Size,83.72,193.41
P0060,SKU-0060,Jogger Sweatpants,Sweats,Olive,Canvas,Spring 2026,L,41.11,71.75
P0061,SKU-0061,Training Shorts,Activewear,Burgundy,Cotton,Summer 2025,S,38.61,68.73
P0062,SKU-0062,Leather Belt,Accessories,Cream,Wool,Fall 2025,One Size,48.15,71.74
P0063,SKU-0063,Performance Leggings,Activewear,Brown,Wool,Winter 2025,XXS,52.63,104.03
P0064,SKU-0064,Performance T-Shirt,Activewear,Dusty Pink,Leather,Summer 2025,XL,48.53,105.72
P0065,SKU-0065,Training Shorts,Activewear,Forest Green,Leather,Fall 2025,S,54.0,107.74
P0066,SKU-0066,Travel Wallet,Wallets,Forest Green,Leather,Spring 2025,One Size,38.17,55.48
P0067,SKU-0067,Leather Jacket,Jackets,Navy,Leather,Spring 2025,L,167.05,337.1
P0068,SKU-0068,Bifold Wallet,Wallets,Grey,Canvas,Spring 2025,One Size,39.62,67.6
P0069,SKU-0069,Keychain,Accessories,Burgundy,Polyester,Winter 2025,One Size,17.69,31.34
P0070,SKU-0070,Pullover Hoodie,Sweats,Lavender,Cotton,Spring 2025,XS,43.58,104.08
P0071,SKU-0071,Zip Wallet,Wallets,Black,Recycled Fabric,Fall 2025,One Size,48.49,108.8
P0072,SKU-0072,Zip Hoodie,Sweats,Navy,Cotton,Summer 2025,M,89.37,138.56
P0073,SKU-0073,Training Hoodie,Activewear,White,Recycled Fabric,Spring 2026,M,64.26,112.77
P0074,SKU-0074,Keychain,Accessories,Burgundy,Canvas,Spring 2026,One Size,44.53,68.57
P0075,SKU-0075,Card Holder,Wallets,Navy,Leather,Fall 2025,One Size,44.03,101.68
P0076,SKU-0076,Zip Wallet,Wallets,Olive,Canvas,Fall 2025,One Size,38.92,79.1
P0077,SKU-0077,Travel Wallet,Wallets,Cream,Recycled Fabric,Fall 2025,One Size,38.24,59.39
P0078,SKU-0078,Knit Scarf,Accessories,Sage Green,Cotton,Summer 2025,One Size,43.66,78.12
P0079,SKU-0079,Relaxed Sweatpants,Sweats,Dusty Pink,Leather,Spring 2025,XS,76.76,116.9
P0080,SKU-0080,Leather Backpack,Bags,Black,Polyester,Fall 2025,One Size,153.75,282.38
P0081,SKU-0081,Fleece Hoodie,Sweats,Sage Green,Leather,Spring 2025,XL,46.01,78.99
P0082,SKU-0082,Zip Wallet,Wallets,Burgundy,Wool,Fall 2025,One Size,58.72,108.55
P0083,SKU-0083,Crewneck Sweatshirt,Sweats,Dusty Pink,Canvas,Fall 2025,XS,58.67,97.42
P0084,SKU-0084,Crewneck Sweatshirt,Sweats,Forest Green,Leather,Summer 2025,M,44.66,100.61
P0085,SKU-0085,Training Shorts,Activewear,Forest Green,Canvas,Fall 2025,XXS,52.03,82.19
P0086,SKU-0086,Keychain,Accessories,Dusty Pink,Canvas,Fall 2025,One Size,32.6,69.43
P0087,SKU-0087,Running Jacket,Activewear,Grey,Wool,Spring 2026,XXS,43.01,76.86
P0088,SKU-0088,Zip Wallet,Wallets,Brown,Wool,Spring 2026,One Size,63.36,107.19
P0089,SKU-0089,Canvas Tote,Bags,Forest Green,Wool,Winter 2025,One Size,56.28,137.76
P0090,SKU-0090,Performance Leggings,Activewear,Black,Wool,Fall 2025,XXS,49.05,105.69
P0091,SKU-0091,Wool Beanie,Accessories,Navy,Polyester,Winter 2025,One Size,26.44,53.61
P0092,SKU-0092,Leather Backpack,Bags,Black,Polyester,Winter 2025,One Size,170.54,251.54
P0093,SKU-0093,Crossbody Bag,Bags,Navy,Cotton,Spring 2025,One Size,75.94,133.0
P0094,SKU-0094,Jogger Sweatpants,Sweats,Tan,Recycled Fabric,Summer 2025,XL,34.7,76.44
P0095,SKU-0095,Leather Satchel,Bags,Brown,Leather,Fall 2025,One Size,139.51,300.44
P0096,SKU-0096,Travel Wallet,Wallets,Lavender,Leather,Spring 2026,One Size,35.78,65.44
P0097,SKU-0097,Baseball Cap,Accessories,Lavender,Leather,Spring 2025,One Size,17.05,24.44
P0098,SKU-0098,Travel Wallet,Wallets,Olive,Polyester,Fall 2025,One Size,35.83,87.52
P0099,SKU-0099,Leather Satchel,Bags,Forest Green,Leather,Fall 2025,One Size,82.98,136.69
P0100,SKU-0100,Training Shorts,Activewear,Lavender,Canvas,Summer 2025,XL,34.96,83.19
P0101,SKU-0101,Baseball Cap,Accessories,Lavender,Cotton,Winter 2025,One Size,19.54,29.46
P0102,SKU-0102,Performance Leggings,Activewear,Sage Green,Polyester,Spring 2025,M,64.14,112.47
P0103,SKU-0103,Jogger Sweatpants,Sweats,White,Recycled Fabric,Fall 2025,M,48.25,71.16
P0104,SKU-0104,Performance T-Shirt,Activewear,White,Polyester,Spring 2025,XS,33.96,53.78
P0105,SKU-0105,Crossbody Bag,Bags,Olive,Leather,Winter 2025,One Size,79.34,184.9
P0106,SKU-0106,Fleece Hoodie,Sweats,Brown,Polyester,Summer 2025,XS,60.23,121.07
P0107,SKU-0107,Puffer Jacket,Jackets,Tan,Polyester,Fall 2025,S,135.63,246.04
P0108,SKU-0108,Performance T-Shirt,Activewear,Forest Green,Cotton,Winter 2025,XL,49.24,73.46
P0109,SKU-0109,Leather Backpack,Bags,Lavender,Recycled Fabric,Summer 2025,One Size,149.15,269.31
P0110,SKU-0110,Mini Backpack,Bags,Tan,Polyester,Spring 2026,One Size,61.89,129.63
P0111,SKU-0111,Keychain,Accessories,Navy,Leather,Spring 2026,One Size,52.04,80.09
P0112,SKU-0112,Sports Bra,Activewear,White,Leather,Summer 2025,S,67.23,101.84
P0113,SKU-0113,Leather Gloves,Accessories,Sage Green,Leather,Spring 2025,One Size,13.12,20.11
P0114,SKU-0114,Training Hoodie,Activewear,Tan,Canvas,Spring 2025,M,59.56,100.79
P0115,SKU-0115,Baseball Cap,Accessories,Dusty Pink,Cotton,Summer 2025,One Size,27.79,47.59
P0116,SKU-0116,Weekender Duffel,Bags,Sage Green,Wool,Fall 2025,One Size,173.02,345.28
P0117,SKU-0117,Crossbody Bag,Bags,Brown,Polyester,Spring 2026,One Size,158.72,227.62
P0118,SKU-0118,Crewneck Sweatshirt,Sweats,White,Recycled Fabric,Winter 2025,L,51.25,118.57
P0119,SKU-0119,Leather Gloves,Accessories,Cream,Recycled Fabric,Fall 2025,One Size,19.84,37.99
P0120,SKU-0120,Leather Belt,Accessories,Brown,Wool,Fall 2025,One Size,37.51,55.36
P0121,SKU-0121,Leather Belt,Accessories,Burgundy,Canvas,Fall 2025,One Size,32.67,79.61
P0122,SKU-0122,Running Jacket,Activewear,Olive,Canvas,Summer 2025,XXS,77.35,112.3
P0123,SKU-0123,Running Jacket,Activewear,Black,Recycled Fabric,Fall 2025,L,34.41,81.92
P0124,SKU-0124,Coin Purse,Wallets,Forest Green,Canvas,Winter 2025,One Size,43.02,83.79
P0125,SKU-0125,Canvas Tote,Bags,Brown,Recycled Fabric,Winter 2025,One Size,162.69,339.63
P0126,SKU-0126,Zip Wallet,Wallets,Black,Wool,Spring 2026,One Size,31.98,57.21
P0127,SKU-0127,Card Holder,Wallets,Lavender,Polyester,Winter 2025,One Size,31.2,56.63
P0128,SKU-0128,Coin Purse,Wallets,White,Leather,Summer 2025,One Size,42.64,81.48
P0129,SKU-0129,Bifold Wallet,Wallets,Navy,Leather,Summer 2025,One Size,30.04,43.04
P0130,SKU-0130,Jogger Sweatpants,Sweats,Tan,Wool,Fall 2025,S,56.73,113.44
P0131,SKU-0131,Card Holder,Wallets,Cream,Cotton,Summer 2025,One Size,41.75,93.84
P0132,SKU-0132,Wool Beanie,Accessories,Cream,Canvas,Summer 2025,One Size,42.92,67.76
P0133,SKU-0133,Leather Jacket,Jackets,Grey,Cotton,Winter 2025,S,295.02,447.5
P0134,SKU-0134,Knit Scarf,Accessories,Dusty Pink,Recycled Fabric,Spring 2025,One Size,17.43,39.68
P0135,SKU-0135,Coin Purse,Wallets,Black,Polyester,Spring 2025,One Size,68.11,118.42
P0136,SKU-0136,Wool Beanie,Accessories,Cream,Cotton,Winter 2025,One Size,24.74,60.43
P0137,SKU-0137,Card Holder,Wallets,Navy,Cotton,Spring 2026,One Size,49.61,98.66
P0138,SKU-0138,Running Jacket,Activewear,Olive,Cotton,Winter 2025,XL,77.48,117.83
P0139,SKU-0139,Mini Backpack,Bags,Navy,Canvas,Winter 2025,One Size,105.27,175.56
P0140,SKU-0140,Quilted Jacket,Jackets,Navy,Leather,Fall 2025,M,234.94,420.42
P0141,SKU-0141,Denim Jacket,Jackets,Lavender,Leather,Spring 2025,XS,118.46,247.81
P0142,SKU-0142,Keychain,Accessories,Cream,Cotton,Spring 2025,One Size,41.13,59.27
P0143,SKU-0143,Keychain,Accessories,Brown,Canvas,Summer 2025,One Size,13.96,31.09
P0144,SKU-0144,Sports Bra,Activewear,Forest Green,Recycled Fabric,Winter 2025,XXS,37.79,71.73
P0145,SKU-0145,Card Holder,Wallets,Tan,Wool,Spring 2025,One Size,25.62,45.17
P0146,SKU-0146,Passport Wallet,Wallets,Olive,Canvas,Winter 2025,One Size,29.75,62.75
P0147,SKU-0147,Rain Jacket,Jackets,White,Recycled Fabric,Fall 2025,XL,215.79,323.57
P0148,SKU-0148,Denim Jacket,Jackets,Cream,Wool,Winter 2025,M,141.09,300.56
P0149,SKU-0149,Training Hoodie,Activewear,Tan,Recycled Fabric,Spring 2025,XL,33.08,60.85
P0150,SKU-0150,Leather Satchel,Bags,Dusty Pink,Leather,Spring 2026,One Size,111.61,172.48
P0151,SKU-0151,Rain Jacket,Jackets,Lavender,Wool,Summer 2025,XS,200.12,373.89
P0152,SKU-0152,Zip Hoodie,Sweats,Navy,Recycled Fabric,Winter 2025,S,77.57,124.65
P0153,SKU-0153,Passport Wallet,Wallets,Black,Wool,Fall 2025,One Size,53.51,83.43
P0154,SKU-0154,Quilted Jacket,Jackets,Black,Wool,Winter 2025,XL,196.52,418.25
P0155,SKU-0155,Performance T-Shirt,Activewear,Black,Cotton,Fall 2025,XS,44.01,81.82
P0156,SKU-0156,Leather Gloves,Accessories,Tan,Leather,Winter 2025,One Size,23.24,33.32
P0157,SKU-0157,Leather Backpack,Bags,Tan,Recycled Fabric,Fall 2025,One Size,185.99,329.97
P0158,SKU-0158,Coin Purse,Wallets,White,Polyester,Spring 2025,One Size,43.75,93.37
P0159,SKU-0159,Card Holder,Wallets,Dusty Pink,Wool,Winter 2025,One Size,49.13,86.03
P0160,SKU-0160,Passport Wallet,Wallets,Lavender,Polyester,Spring 2026,One Size,39.29,92.71
P0161,SKU-0161,Training Shorts,Activewear,Black,Leather,Summer 2025,XS,52.8,98.07
P0162,SKU-0162,Rain Jacket,Jackets,Dusty Pink,Recycled Fabric,Summer 2025,XS,142.79,274.18
P0163,SKU-0163,Relaxed Sweatpants,Sweats,Tan,Polyester,Summer 2025,XL,54.16,124.01
P0164,SKU-0164,Quilted Jacket,Jackets,Navy,Canvas,Fall 2025,XS,120.39,221.03
P0165,SKU-0165,Leather Satchel,Bags,Grey,Canvas,Spring 2025,One Size,76.21,133.56
P0166,SKU-0166,Zip Hoodie,Sweats,Forest Green,Recycled Fabric,Fall 2025,S,77.05,114.06
P0167,SKU-0167,Training Hoodie,Activewear,Burgundy,Canvas,Winter 2025,XL,48.7,107.33
P0168,SKU-0168,Running Jacket,Activewear,Brown,Polyester,Summer 2025,M,32.18,72.78
P0169,SKU-0169,Leather Jacket,Jackets,Olive,Recycled Fabric,Spring 2025,XS,140.4,260.33
P0170,SKU-0170,Training Hoodie,Activewear,Black,Wool,Fall 2025,XXS,41.81,97.07
P0171,SKU-0171,Fleece Hoodie,Sweats,Cream,Canvas,Fall 2025,S,44.67,98.58
P0172,SKU-0172,Travel Wallet,Wallets,Sage Green,Cotton,Winter 2025,One Size,34.79,71.84
P0173,SKU-0173,Training Shorts,Activewear,Navy,Canvas,Winter 2025,XXS,64.54,93.0
P0174,SKU-0174,Leather Backpack,Bags,Forest Green,Canvas,Spring 2025,One Size,147.3,347.83
P0175,SKU-0175,Denim Jacket,Jackets,Dusty Pink,Cotton,Spring 2025,XL,96.02,226.29
P0176,SKU-0176,Quilted Jacket,Jackets,Olive,Leather,Winter 2025,XS,102.74,215.29
P0177,SKU-0177,Puffer Jacket,Jackets,White,Polyester,Spring 2025,L,111.28,271.9
P0178,SKU-0178,Puffer Jacket,Jackets,Burgundy,Polyester,Spring 2026,M,140.77,284.43
P0179,SKU-0179,Bomber Jacket,Jackets,Navy,Leather,Fall 2025,XS,272.86,423.2
P0180,SKU-0180,Card Holder,Wallets,Lavender,Cotton,Fall 2025,One Size,21.05,43.78
P0181,SKU-0181,Baseball Cap,Accessories,Tan,Leather,Fall 2025,One Size,26.35,59.13
P0182,SKU-0182,Bifold Wallet,Wallets,Lavender,Wool,Spring 2025,One Size,52.93,99.66
P0183,SKU-0183,Zip Hoodie,Sweats,Cream,Wool,Summer 2025,XXS,45.23,79.24
P0184,SKU-0184,Card Holder,Wallets,Brown,Leather,Winter 2025,One Size,54.35,93.76
P0185,SKU-0185,Leather Backpack,Bags,Sage Green,Polyester,Spring 2026,One Size,152.57,333.87
P0186,SKU-0186,Coin Purse,Wallets,Burgundy,Wool,Summer 2025,One Size,26.9,59.97
P0187,SKU-0187,Keychain,Accessories,Black,Wool,Summer 2025,One Size,24.75,36.09
P0188,SKU-0188,Leather Backpack,Bags,Dusty Pink,Wool,Spring 2026,One Size,134.85,252.61
P0189,SKU-0189,Crewneck Sweatshirt,Sweats,Grey,Recycled Fabric,Summer 2025,S,80.18,131.12
P0190,SKU-0190,Running Jacket,Activewear,Burgundy,Recycled Fabric,Spring 2025,XXS,52.82,109.52
P0191,SKU-0191,Crossbody Bag,Bags,Black,Canvas,Summer 2025,One Size,132.53,267.43
P0192,SKU-0192,Bomber Jacket,Jackets,Black,Cotton,Winter 2025,XL,147.74,233.79
P0193,SKU-0193,Zip Wallet,Wallets,Navy,Cotton,Fall 2025,One Size,44.02,76.48
P0194,SKU-0194,Crossbody Bag,Bags,Black,Cotton,Fall 2025,One Size,124.1,284.46
P0195,SKU-0195,Training Shorts,Activewear,Grey,Leather,Spring 2026,XL,35.18,68.25
P0196,SKU-0196,Training Hoodie,Activewear,Brown,Leather,Winter 2025,S,67.99,97.68
P0197,SKU-0197,Leather Jacket,Jackets,Sage Green,Leather,Winter 2025,XL,102.24,188.73
P0198,SKU-0198,Rain Jacket,Jackets,Cream,Polyester,Spring 2026,XL,177.15,267.05
P0199,SKU-0199,Canvas Tote,Bags,Tan,Cotton,Winter 2025,One Size,190.99,341.73
P0200,SKU-0200,Bifold Wallet,Wallets,Burgundy,Wool,Winter 2025,One Size,53.64,98.0
